Date,High,Low,Open,Close,Volume,Adj Close,Name
2021-12-13,169.8000030517578,165.9499969482422,166.92999267578125,166.6999969482422,296000,166.6999969482422,IPGP
2021-12-14,168.92999267578125,165.61000061035156,166.5500030517578,168.52000427246094,310700,168.52000427246094,IPGP
2021-12-15,170.7100067138672,167.1199951171875,169.19000244140625,170.57000732421875,339500,170.57000732421875,IPGP
2021-12-16,173.75999450683594,165.13999938964844,172.1699981689453,165.17999267578125,293800,165.17999267578125,IPGP
2021-12-17,167.77999877929688,162.4199981689453,165.17999267578125,165.77000427246094,603900,165.77000427246094,IPGP
2021-12-20,164.6699981689453,161.1699981689453,163.8300018310547,162.64999389648438,237600,162.64999389648438,IPGP
2021-12-21,168.5800018310547,164.0399932861328,164.16000366210938,167.38999938964844,168400,167.38999938964844,IPGP
2021-12-22,168.6999969482422,166.25,166.9499969482422,167.41000366210938,120200,167.41000366210938,IPGP
2021-12-23,170.2100067138672,167.72000122070312,167.99000549316406,168.89999389648438,111100,168.89999389648438,IPGP
2021-12-27,172.5399932861328,168.92999267578125,170.1300048828125,171.91000366210938,99700,171.91000366210938,IPGP
2021-12-28,172.30999755859375,170.39999389648438,172.0,170.8699951171875,114500,170.8699951171875,IPGP
2021-12-29,173.02000427246094,171.24000549316406,171.35000610351562,172.52000427246094,121800,172.52000427246094,IPGP
2021-12-30,176.08999633789062,172.00999450683594,173.0800018310547,172.27000427246094,140500,172.27000427246094,IPGP
2021-12-31,173.27999877929688,171.89999389648438,172.0500030517578,172.13999938964844,131400,172.13999938964844,IPGP
2022-01-03,174.61000061035156,172.1699981689453,172.35000610351562,173.80999755859375,157900,173.80999755859375,IPGP
2022-01-04,176.11000061035156,171.44000244140625,174.27999877929688,174.55999755859375,186600,174.55999755859375,IPGP
2022-01-05,176.6300048828125,169.32000732421875,174.07000732421875,169.47999572753906,146900,169.47999572753906,IPGP
2022-01-06,170.75,167.11000061035156,169.19000244140625,167.24000549316406,248800,167.24000549316406,IPGP
2022-01-07,167.41000366210938,161.24000549316406,166.41000366210938,162.61000061035156,251600,162.61000061035156,IPGP
2022-01-10,164.4600067138672,157.1199951171875,161.42999267578125,164.33999633789062,273800,164.33999633789062,IPGP
